ID,Survey_Year,Ethnicity,Food,ew,ew2,mw,mw2,ewmw
1,201819,1,402,56387.84,379545054.4,58414.06,2435103.969,1384608.717
2,201819,1,404,2023221.74,18388133705,58414.06,2435103.969,76661337.13
3,201819,1,901,92754.75,398411397.2,58414.06,2435103.969,2736600.152
4,201819,1,1102,104908.79,2224888786,58414.06,2435103.969,3520151.779
5,201819,1,1103,875636.44,37431482134,58414.06,2435103.969,39420505.84
6,201819,1,1201,18692.28,80462760.59,58414.06,2435103.969,492842.7824
7,201819,1,1301,6104816.85,55345369458,58414.06,2435103.969,213755638.6
8,201819,1,1302,377595.51,1273661901,58414.06,2435103.969,17602560.9
9,201819,1,1502,1297617.1,9740772218,58414.06,2435103.969,44049724.94
10,201819,1,1503,6625628.33,67699496449,58414.06,2435103.969,257150425.6
11,201819,1,1603,1842014.83,10988007606,58414.06,2435103.969,66549116.13
12,201819,1,1605,64660.77,1976203000,58414.06,2435103.969,2799860.763
13,201819,1,1607,923314.91,8455212845,58414.06,2435103.969,38684918.94
14,201819,1,1608,1104771.76,9828545997,58414.06,2435103.969,42510346.33
15,201819,1,1701,1242256.95,5071815554,58414.06,2435103.969,48816083.48
16,201819,1,2201,5591925.26,43490035023,58414.06,2435103.969,210386262.1
17,201819,1,2202,790613.65,6212780423,58414.06,2435103.969,25204406.76
18,201819,1,2203,1368713.84,9661882523,58414.06,2435103.969,52248599.13
19,201819,1,2205,219596.31,912651292.3,58414.06,2435103.969,9317166.563
20,201819,1,2206,2300737.39,17600582452,58414.06,2435103.969,89785425.7
21,201819,1,2301,911321.68,3892690129,58414.06,2435103.969,32022243.4
22,201819,1,3102,132597.99,5508366203,58414.06,2435103.969,3609576.467
23,201819,1,3103,1467588.72,21406501492,58414.06,2435103.969,55746091.7
24,201819,1,3104,1588880.89,20398675916,58414.06,2435103.969,66777845.21
25,201819,1,3105,3507644.12,115066377542,58414.06,2435103.969,155424413.7
26,201819,1,3106,3377708.67,34922003738,58414.06,2435103.969,144284190
27,201819,1,3107,23414.01,138725632.2,58414.06,2435103.969,605404.761
28,201819,1,3601,18595.27,188095620,58414.06,2435103.969,380410.5126
29,201819,1,3602,1103087.67,20018959916,58414.06,2435103.969,35684800.41
30,201819,1,3603,844497.11,7900901228,58414.06,2435103.969,23125021.33
31,201819,1,3604,291877.56,2370021358,58414.06,2435103.969,10235906.04
32,201819,1,4101,864436.14,8685483627,58414.06,2435103.969,28816202.56
33,201819,1,4102,362182.24,1901228726,58414.06,2435103.969,12194395.32
34,201819,1,4103,1012807.76,8350220836,58414.06,2435103.969,42890029.26
35,201819,1,4104,564099.34,3516723481,58414.06,2435103.969,24295386.87
36,201819,1,4603,2218.5,2486576.639,58414.06,2435103.969,114210.9018
