ID,Food_Code_description
4,"Liquid whole milk, full price"
9,Condensed milk
11,Infant milks
12,Instant milks
13,Yoghurt and fromage frais
15,Skimmed milks
16,Other milks and dairy desserts
17,Cream
22,"Cheese, natural"
23,"Cheese, processed"
31,Beef and veal
36,Mutton and lamb
41,Pork
46,Liver
51,Offals (other than liver)
55,"Bacon and ham, uncooked"
58,"Bacon and ham, cooked (including canned)"
59,Cooked poultry (excluding canned)
62,Corned meat
66,Other cooked meat (excluding canned)
71,Other canned meat and canned meat products
74,Chicken
77,"Other poultry, uncooked (including frozen)"
78,Rabbit and other meat
79,"Sausages, pork, uncooked"
80,"Sausages, beef etc., uncooked"
83,"Meat pies and sausage rolls, ready to eat"
84,"Meat pies, pasties and puddings, requires further cooking"
85,Burgers
89,Meat based ready meals and convenience meat products
93,Pate and delicatessen type sausages
94,Meat pastes and spreads
95,Takeaway meats
102,"White fish, fresh, chilled or frozen"
106,"Herrings and other blue fish, fresh, chilled or frozen"
107,"Salmon, fresh, chilled or frozen"
108,"Blue fish, dried, salted or smoked"
114,"White fish, dried, salted or smoked"
117,Shellfish
118,Takeaway fish
119,"Salmon, tinned"
120,Other tinned or bottled fish
121,Fish based ready meals and other fish products
123,Takeaway fish meals and fish products
129,Eggs
135,Butter
138,Margarine
139,Lard and compound cooking fat
143,Vegetable and salad oil
148,All other fats
150,Sugar
151,"Jams, jellies and fruit curds"
152,Marmalade
153,Syrup and treacle
154,Honey
155,Potatoes
162,"Cabbages, fresh"
163,"Brussels sprouts, fresh"
164,"Cauliflowers, fresh"
167,"Leafy salads, fresh"
168,"Peas, fresh"
169,"Beans, fresh"
171,Other fresh green vegetables
172,"Carrots, fresh"
173,"Turnips and swedes, fresh"
174,"Other root vegetables, fresh"
175,"Onions, leeks and shallots, fresh"
176,"Cucumbers, fresh"
177,"Mushrooms, fresh"
178,"Tomatoes, fresh"
183,Miscellaneous fresh vegetables
184,"Tomatoes, canned or bottled"
185,"Peas, canned"
188,"Beans, cannes"
191,"Other canned vegetales (excluding potatoes, tomatoes and pulses)"
192,"Dried pulses, excluding air-dried"
195,Air-dried vegetables
196,Vegetable juices and purees
197,Chips (including takeaway chips)
198,Instant potato
199,Canned potato
200,Crisps and potato snacks
201,Other potato products
203,"Peas, frozen"
204,"Beans, frozen"
206,Vegetable based ready meals and other vegetable products (including takeaways)
208,"Other vegetables and vegetable produts, frozen"
210,"Oranges, fresh"
214,"Other citrus fruit, fresh"
217,"Apples, fresh"
218,"Pears, fresh"
221,"Stone fruit, fresh"
222,"Grapes, fresh"
227,"Other soft fruit, fresh"
228,"Bananas, fresh"
229,"Melons, fresh"
231,Other fresh fruit
233,"Peaches, pears and pineapples, tinned"
236,Other canned or bottled fruit
240,Dried fruit
241,Frozen fruit and fruit products
245,"Nuts, edible seeds and peanut butter"
248,Pure fruit juices
251,"Bread, white - standard unsliced"
252,"Bread, white - standard sliced"
257,"Bread, white - premium"
258,"Bread, white - soft grain"
259,"Bread, brown"
260,"Bread, wholemeal or granary"
263,Other bread
264,Flour
267,"Buns, scones and teacakes"
270,"Cakes and pastries, fresh"
271,Crispbread
274,Biscuits (excluding chocolate biscuits)
277,Chocolate biscuits
281,Oatmeal and oat products
282,Breakfast cereals
285,Canned milk puddings
286,Other puddings
287,Rice
290,Cereal based invalid or slimming foods
291,Infant foods
294,"Cakes and pastries, frozen"
295,Pasta
296,Pizza
299,Other cereal convenience foods
301,Other cereals and cereal products
304,Tea
307,Coffee beans and ground coffee
308,Instant coffee (including air-dried filter coffee)
309,Coffee essences
310,Takeaway tea and coffee
312,Cocoa and drinking chocolate
313,Branded food drinks
314,Mineral water
315,Baby foods
318,"Soups, canned"
319,"Soups, dehydrated or powdered"
320,"Soups, takeaway"
321,Other takeaway food brought home
322,Meals on wheels (items not specified)
323,Spreads and dressings
327,Pickles and sauces
328,Stock cubes and meat and yeast extracts
329,"Table jelly, square and crystals"
332,Ice cream
333,Ice cream products (including takeaways)
334,Salt
335,Artificial sweeteners (expenditure only)
336,Other miscellaneous products (expenditure only)
339,Novel protein foods
340,"Soft drinks, concentrated (excluding low calorie)"
341,"Soft drinks, unconcentrated (excluding low calorie)"
343,"Low calorie soft drinks, concentrated"
344,"Low calorie soft drinks, unconcentrated"
350,Solid chocolate
351,Chocolate coated or filled bars or sweets
352,Chewing gum
353,Mints and boiled sweets
354,"Fudges, toffees, caramels"
355,Takeaway confectionery
381,Beers
382,Lagers and continental beers
383,Ciders and perrys
384,Wine and champagne
385,Spirits with mixer
386,Fortified wines
387,Spirits
388,Liqueurs and cocktails
389,Alcopops
402,UHT whole milk
404,Pasteurised or homogenised whole milk
901,Condensed or evaporated milk
1102,Infant or baby milks - ready to drink
1103,Infant or baby milks - dried
1201,Instant dried milk
1301,Yoghurt
1302,Fromage frais
1502,Fully skimmed milk
1503,Semi-skimmed milk
1603,Dairy desserts - not frozen
1605,Dried milk products
1607,Milk drinks & other milks
1608,Non-dairy milk substitutes
1701,Cream
2201,Hard cheese - Cheddar type
2202,Hard cheese - Other UK or foreign equivalent
2203,Hard cheese - Edam or other foreign
2205,Cottage cheese
2206,Soft natural cheese
2301,Processed cheese
3102,Beef joints - on the bone
3103,Beef joints - boned
3104,Beef steak - less expensive
3105,Beef steak - more expensive
3106,Minced beef
3107,All other beef and veal
3601,Mutton
3602,Lamb joints
3603,Lamb chops
3604,All other lamb
4006,Liquid whole milk (including welfare and school milk)
4101,Pork joints
4102,Pork chops
4103,Pork fillets and steaks
4104,All other pork
4603,Ox liver
4604,Lambs liver
4605,Pigs liver
4607,All other liver
5101,All offal other than liver
5502,"Bacon and ham joints, uncooked"
5505,"Bacon and ham rashers, uncooked"
5801,Ham and bacon
5903,Cooked chicken and turkey
5904,Takeaway chicken
6201,Corned beef - canned or sliced
6601,Other cooked meat
7102,Other canned meat and canned meat products
7401,Chicken - whole or part
7703,Turkey - whole or part
7704,Poultry other than chicken or turkey
7801,"Other fresh, chilled or frozen meat"
7901,"Sausages, uncooked - pork"
8001,"Sausages, uncooked - beef etc."
8302,Meat pies - ready to eat
8303,Sausage rolls - ready to eat
8401,"Meat pies, pasties and puddings - frozen or not frozen"
8501,Burgers - frozen or not frozen
8901,Complete meat-based ready meals - frozen or not frozen
8902,Other convenience meat products - frozen or not frozen
9017,Other milk and cream
9301,Pate
9302,Delicatessen type sausages
9403,Meat pastes and spreads
9501,Takeaway meat pies and pasties
9502,Takeaway burger and bun
9503,Takeaway kebabs
9504,Takeaway sausages and saveloys
9505,Takeaway meat based meals
9506,Takeaway miscellaneous meats
10201,"White fish, fresh or chilled"
10202,"White fish, frozen"
10601,"Herrings and other blue fish, fresh or chilled"
10602,"Herrings and other blue fish, frozen"
10701,"Salmon, fresh or chilled"
10702,"Salmon, frozen"
10801,"Blue fish, dried or salted or smoked"
11401,"White fish, dried or salted or smoked"
11702,"Shellfish, fresh or chilled"
11703,"Shellfish, frozen"
11801,Takeaway fish
11901,Tinned salmon
12001,Other tinned or bottled fish
12103,Ready meals and other fish products - frozen or not frozen
12304,Takeaway fish products
12305,Takeaway fish based meals
12901,Eggs
13501,Butter
13801,Soft margarine
13802,Other margarine
13901,"Lard, cooking fat"
14304,Olive Oil
14305,Other vegetable and salad oils
14802,Reduced fat spreads
14803,Low fat spreads
14805,Suet and dripping
14807,Imitatation cream
15001,Sugar
15101,Jams and fruit curds
15201,Marmalade
15301,"Syrup, treacle"
15401,Honey
15504,Fresh potatoes not specified elsewhere
15505,Fresh new potatoes
15506,Fresh baking potatoes
16201,Fresh cabbages
16301,Fresh brussels sprouts
16401,Fresh cauliflower
16701,Lettuce and leafy salads
16702,Prepared lettuce salads
16801,Fresh peas
16901,Fresh beans
17101,Other fresh green vegetables
17201,Fresh carrots
17301,Fresh turnips and swede
17401,Other fresh root vegetables
17501,"Fresh onions, leeks and shallots"
17601,Fresh cucumbers
17701,Fresh mushrooms
17801,Fresh tomatoes
18301,"Fresh vegetable stewpack, stirfry pack etc."
18302,Fresh stem vegetables
