ID,Survey_Year,Ethnicity,Food,ew,ew2,mw,mw2,ewmw
1,201819,1,402,648720.6012,48240106890,58414.06,2435103.969,15958465.61
2,201819,1,404,34903460.32,5589570872757,58414.06,2435103.969,1360894352
3,201819,1,901,1059888.544,43265237111,58414.06,2435103.969,29998666.82
4,201819,1,1102,341950,24540761020,58414.06,2435103.969,11368469.16
5,201819,1,1103,5253512.6,1408139135348,58414.06,2435103.969,238872050.5
6,201819,1,1201,292161,20306279907,58414.06,2435103.969,7345303.2
7,201819,1,1301,22356738.23,697568096541,58414.06,2435103.969,775056055.5
8,201819,1,1302,1341700.8,18284125326,58414.06,2435103.969,64356076.67
9,201819,1,1502,20901327.21,2083229506474,58414.06,2435103.969,693002727.4
10,201819,1,1503,110994366.4,19258040353894,58414.06,2435103.969,4542657359
11,201819,1,1603,4134330.32,53726182033,58414.06,2435103.969,142248807.9
12,201819,1,1605,438948,70181431160,58414.06,2435103.969,34217658.52
13,201819,1,1607,4409739.729,189564372656,58414.06,2435103.969,181976287.6
14,201819,1,1608,8247239.499,634323322654,58414.06,2435103.969,304772358.3
15,201819,1,1701,3231729.732,36387784471,58414.06,2435103.969,124929050.3
16,201819,1,2201,8031218.72,91120400467,58414.06,2435103.969,300058930.6
17,201819,1,2202,930220.869,6093848147,58414.06,2435103.969,29236778.05
18,201819,1,2203,1189403.812,6740800961,58414.06,2435103.969,43384048.56
19,201819,1,2205,635996.5,6882972321,58414.06,2435103.969,24734302.91
20,201819,1,2206,3275858.71,29357453178,58414.06,2435103.969,122009490.5
21,201819,1,2301,1194268.872,5619735636,58414.06,2435103.969,43176169.86
22,201819,1,3102,123761.1,4297624047,58414.06,2435103.969,3414308.05
23,201819,1,3103,1833914.598,34234659290,58414.06,2435103.969,71306746.06
24,201819,1,3104,1848819.936,28031973081,58414.06,2435103.969,84756477.26
25,201819,1,3105,2137322.763,35332867197,58414.06,2435103.969,96851257.06
26,201819,1,3106,5719134.83,99245176313,58414.06,2435103.969,251560408
27,201819,1,3107,22397.95,168328826.7,58414.06,2435103.969,564037.607
28,201819,1,3601,36739,1024387421,58414.06,2435103.969,749873.82
29,201819,1,3602,1311276.173,27161283421,58414.06,2435103.969,41822577.31
30,201819,1,3603,677111.2973,4920216292,58414.06,2435103.969,18777602.31
31,201819,1,3604,332185.8028,3727408722,58414.06,2435103.969,12602541.65
32,201819,1,4101,1884383.819,39324576982,58414.06,2435103.969,62329371.53
33,201819,1,4102,729197.4081,7938617937,58414.06,2435103.969,24764911.82
34,201819,1,4103,1831536.557,26531284180,58414.06,2435103.969,77875993.73
35,201819,1,4104,1196464.68,15602005446,58414.06,2435103.969,50940862.96
36,201819,1,4603,11949.42,71432622.75,58414.06,2435103.969,590900.7762
37,201819,1,4604,93444.6047,578970898.5,58414.06,2435103.969,2261407.76
38,201819,1,4605,64966.56,628463504.9,58414.06,2435103.969,2117358.344
39,201819,1,4607,88001.15,1874967747,58414.06,2435103.969,6224956.076
40,201819,1,5101,122796.6969,1024876912,58414.06,2435103.969,2670592.908
41,201819,1,5502,2299548.055,32579090492,58414.06,2435103.969,77299705.89
42,201819,1,5505,5290798.645,56924689837,58414.06,2435103.969,199533178.2
43,201819,1,5801,4834698.45,38922473856,58414.06,2435103.969,176063703.4
44,201819,1,5903,3133331.805,41762634607,58414.06,2435103.969,123082464
45,201819,1,5904,758493,7390407075,58414.06,2435103.969,31911996.81
46,201819,1,6201,856129.8354,4689073859,58414.06,2435103.969,29084430.84
47,201819,1,6601,1500771.421,11508404381,58414.06,2435103.969,55709102.36
48,201819,1,7102,2472210.88,40358525789,58414.06,2435103.969,94927062.34
49,201819,1,7401,24169857.32,1316064695495,58414.06,2435103.969,994296270.3
50,201819,1,7703,1554362.084,43506630033,58414.06,2435103.969,54045070.4
51,201819,1,7704,250250.677,4886649162,58414.06,2435103.969,6983564.412
52,201819,1,7801,90381.03,3956285032,58414.06,2435103.969,2595605.464
53,201819,1,7901,6780346.618,105480733523,58414.06,2435103.969,263612186.1
54,201819,1,8001,419845.9952,4845404241,58414.06,2435103.969,17407818.2
55,201819,1,8302,1434568.523,15814093923,58414.06,2435103.969,55194131.37
56,201819,1,8303,1430193.829,12212107481,58414.06,2435103.969,54818693.88
57,201819,1,8401,4895721.617,86020428240,58414.06,2435103.969,173803569.1
58,201819,1,8501,2813782.686,55008321255,58414.06,2435103.969,141035883.7
59,201819,1,8901,11979169.15,458750265218,58414.06,2435103.969,452333495.5
60,201819,1,8902,11414860.06,284312473521,58414.06,2435103.969,461465293.5
61,201819,1,9301,340960.622,1115391692,58414.06,2435103.969,11792620.81
62,201819,1,9302,1881134.91,21698676807,58414.06,2435103.969,84630653.08
63,201819,1,9403,55856.63,131033414.4,58414.06,2435103.969,1328662.478
64,201819,1,9501,141161.9,662114134.6,58414.06,2435103.969,5158806.15
65,201819,1,9502,706617.63,5810200509,58414.06,2435103.969,32210885.95
66,201819,1,9503,952398,19085909642,58414.06,2435103.969,48182919.94
67,201819,1,9504,172739.6,447603984.8,58414.06,2435103.969,6291361.412
68,201819,1,9505,3502013.64,60279067224,58414.06,2435103.969,137367380.8
69,201819,1,9506,13451.4,25384493.57,58414.06,2435103.969,638725.4775
70,201819,1,10201,1254597.955,15605501690,58414.06,2435103.969,33360658.14
71,201819,1,10202,341163.8964,5394905836,58414.06,2435103.969,11422778.24
72,201819,1,10601,263008.2207,1750626279,58414.06,2435103.969,7102142.248
73,201819,1,10602,24518.4,107906146.6,58414.06,2435103.969,746469.936
74,201819,1,10701,1690312.407,17536840238,58414.06,2435103.969,61420833.07
75,201819,1,10702,141407.6,1219094004,58414.06,2435103.969,5079105.708
76,201819,1,10801,829066.057,4884414027,58414.06,2435103.969,27851007.32
77,201819,1,11401,443282.908,3355581676,58414.06,2435103.969,12322818.26
78,201819,1,11702,686155.9232,6824960056,58414.06,2435103.969,21741287.72
79,201819,1,11703,557626.044,4178696491,58414.06,2435103.969,19453779.34
80,201819,1,11801,775079.29,4616445523,58414.06,2435103.969,25493562.81
81,201819,1,11901,199113.95,904040563.8,58414.06,2435103.969,4384448.63
